State,Turnout, VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,Year
Idaho,67.6,66.8,,878527,868014,1298949,1391199,4.1,8378,34392,5267,34968,,2020
Illinois,66.1,66.0,,6050000,6033744,9148531,9964476,7.8,38464,0,0,38464,,2020
Indiana,61.5,60.8,,3068542,3033121,4985618,5199619,3.6,26302,0,0,26302,,2020
Iowa,72.9,72.5,,1700130,1690871,2332831,2451863,3.5,9216,29137,6652,33933,,2020
Kansas*,65.7,65.6,,1375125,1373763,2094282,2229903,4.9,9882,16455,5438,25522,,2020
Kentucky,64.8,64.4,,2150954,2136768,3319244,3486455,2.8,23280,46967,15881,68281,,2020
Louisiana,64.2,63.6,,2169401,2148062,3378891,3562696,2.8,32267,35025,29321,83304,,2020
Maine,75.8,74.9,,828305,819461,1093470,1112819,1.7,0,0,0,0,,2020
Maryland,69.9,69.2,,3066945,3037030,4388734,4811635,8.4,18165,0,0,18165,,2020
Massachusetts,71.0,70.5,,3658005,3631402,5151671,5652754,8.7,7772,0,0,7772,,2020
Michigan,73.5,73.0,,5579317,5539302,7587900,7910023,3.6,38183,0,0,38183,,2020
Minnesota,79.8,79.4,,3292997,3277171,4128534,4389244,4.1,9712,100076,7381,79140,,2020
Mississippi,60.4,59.9,,1325000,1313894,2194780,2272141,1.4,19244,27294,9866,46032,,2020
Missouri,66.0,66.0,,3026028,3025962,4586423,4777750,2.4,30148,43871,19251,76599,,2020
Montana*,72.8,72.0,,612075,605637,840801,855210,1.2,3754,0,0,3754,,2020
Nebraska,69.5,68.8,,966920,956383,1390687,1477375,4.8,5263,14894,958,15455,,2020
Nevada,66.1,66.0,,1407754,1405376,2128186,2421837,11.6,12399,0,0,12399,,2020
New Hampshire,74.9,74.0,,814499,804991,1087140,1123863,3.0,2635,0,0,2635,,2020
New Jersey,72.0,70.6,,4635585,4549353,6442755,7271361,11.1,18099,0,0,18099,,2020
New Mexico,61.0,60.8,,928230,923965,1520916,1639967,6.2,6887,12090,2805,17188,,2020
New York,61.1,60.6,,8690139,8616861,14223694,15990656,10.5,42408,0,45192,87600,,2020
North Carolina,72.8,72.5,,5545848,5524804,7619132,8180315,5.7,33640,80068,14215,97497,,2020
North Dakota,63.4,63.0,,364251,361819,574506,594267,3.0,1679,0,0,1679,,2020
Ohio,67.0,66.5,,5974121,5922202,8911864,9198716,2.6,49892,0,0,49892,,2020
Oklahoma,55.3,55.2,,1565000,1560699,2829329,3014541,4.3,27558,41562,1780,55106,,2020
Oregon,76.2,75.0,,2413890,2374321,3166794,3374426,5.7,13795,0,0,13795,,2020
Pennsylvania*,70.1,69.7,,6958551,6915283,9927102,10336614,3.5,44148,0,0,44148,,2020
Rhode Island,63.1,62.6,,522488,517757,827594,887378,6.4,2766,0,0,2766,,2020
South Carolina,65.9,65.4,,2533010,2513329,3842990,4030234,3.6,18587,31975,4980,43392,,2020
South Dakota,66.4,65.6,,427529,422609,643963,670773,2.4,3867,5989,3201,10781,,2020
Tennessee,59.7,59.5,,3065000,3053851,5131238,5397825,3.6,26107,61253,10842,74926,,2020
Texas,60.8,60.6,,11350000,11315056,18660177,21916249,12.6,154913,368167,109213,492390,,2020
Utah,69.2,68.0,,1515845,1488289,2190033,2341833,6.2,6287,0,0,6287,,2020
Vermont,72.2,71.6,,370968,367428,513506,525579,2.3,0,0,0,0,,2020
Virginia,72.8,71.8,,4523142,4460524,6215576,6748359,6.8,35743,63111,1860,76732,,2020
Washington,76.2,75.6,,4116894,4087631,5405804,6034791,9.1,18777,76672,12222,78536,,2020
West Virginia,57.2,56.7,,802726,794652,1402385,1430531,0.9,6757,6593,4287,15132,,2020
Wisconsin,75.3,75.0,,3310000,3298041,4395551,4614661,3.2,23574,42909,21015,71193,,2020
Wyoming,65.3,64.9,,278503,276765,426246,442682,2.2,2488,5383,934,6759,,2020
United States,46.2,,,112030874,,242690810,261673203,7.5,1157707,1145315,340972,2643994,3129152,2022
Alabama*,37.3,,,1424087,,3820009,3977770,2.3,25328,32711,8245,66284,,2022
Alaska,50.2,,,267047,,531448,558308,3.5,4578,1682,1003,7263,,2022
Arizona,49.3,,,2592313,,5257070,5806140,7.9,34997,50333,6887,92217,,2022
Arkansas,41.5,,,914227,,2202252,2357190,3.6,15850,27511,25852,69213,,2022
California,42.9,,,11146610,,25994715,30542685,14.6,97328,0,0,97328,,2022
Colorado,58.3,,,2540666,,4357176,4642930,5.8,14990,0,0,14990,,2022
Connecticut,48.6,,,1297811,,2672164,2901604,7.6,9297,0,0,9297,,2022
Delaware,42.8,,,325632,,761497,815329,5.1,4653,7004,373,12030,,2022
District of Columbia,40.6,,,205774,,506405,548366,7.7,0,0,0,0,,2022
Florida,48.1,,,7796916,,16197278,18100676,9.4,75977,123920,4280,204177,,2022
Georgia,51.9,,,3964926,,7644125,8445249,5.9,44796,235589,19447,299832,,2022
Hawaii,40.5,,,423443,,1046736,1144775,8.2,4097,0,0,4097,,2022
Idaho*,42.6,,,595350,,1397732,1490206,4.0,7996,18918,5967,32881,,2022
Illinois,45.8,,,4144125,,9048164,9859786,7.9,28582,0,0,28582,,2022
Indiana,37.2,,,1880755,,5061894,5277826,3.6,23458,0,0,23458,,2022
Iowa,51.9,,,1230417,,2372595,2482470,3.1,8128,17139,7261,32528,,2022
Kansas*,47.6,,,1008998,,2121246,2251251,4.7,8477,10953,5428,24858,,2022
Kentucky,44.8,,,1502550,,3352567,3512486,2.5,18433,38267,14429,71129,,2022
Louisiana,42.0,,,1410466,,3355031,3524363,2.9,26851,19250,21566,67667,,2022
Maine,60.8,,,680909,,1119461,1143143,1.9,0,0,0,0,,2022
Maryland,45.8,,,2031635,,4434258,4823486,8.1,14918,0,0,14918,,2022
Massachusetts,48.8,,,2511461,,5141977,5651857,8.9,5993,0,0,5993,,2022
Michigan,58.9,,,4500400,,7640677,7933413,3.3,33246,0,0,33246,,2022
Minnesota,60.4,,,2526646,,4181894,4434088,4.0,7681,58825,7359,73865,,2022
Mississippi*,32.5,,,709100,,2183828,2263618,1.4,17569,20027,10510,48106,,2022
Missouri*,49.6,,,2304250,,4642509,4822855,2.3,22890,26737,20729,70356,,2022
Montana,53.2,,,468326,,879710,895752,1.4,3910,0,0,3910,,2022
Nebraska,48.4,,,682716,,1409798,1494725,4.7,5071,7903,1156,14130,,2022
Nevada,45.8,,,1023617,,2232999,2502244,10.3,10455,0,0,10455,,2022
New Hampshire,56.3,,,626931,,1113547,1145537,2.6,2158,0,0,2158,,2022
New Jersey,41.0,,,2645539,,6447094,7275453,11.2,11896,0,0,11896,,2022
New Mexico,46.3,,,714754,,1542457,1657556,6.0,5377,8061,2725,16163,,2022
New York,42.5,,,5962278,,14026187,15676287,10.3,32574,0,0,32574,,2022
North Carolina,47.5,,,3790202,,7972970,8455572,5.4,28406,0,0,28406,,2022
North Dakota,41.7,,,242566,,581570,598899,2.7,1384,0,0,1384,,2022
Ohio,47.1,,,4201368,,8921202,9199881,2.5,44608,0,0,44608,,2022
Oklahoma*,39.6,,,1153284,,2913333,3080502,4.1,22071,15889,2237,40197,,2022
Oregon,62.3,,,1997689,,3208133,3409264,5.5,12753,0,0,12753,,2022
Pennsylvania*,54.4,,,5410022,,9953327,10366708,3.6,38938,0,0,38938,,2022
Rhode Island*,43.6,,,361449,,828495,890835,6.7,2227,0,0,2227,,2022
South Carolina,42.8,,,1718626,,4018588,4195145,3.3,15787,18208,4638,38633,,2022
South Dakota*,53.1,,,354670,,668380,695896,2.2,3176,5210,3673,12059,,2022
Tennessee*,33.3,,,1756397,,5270397,5539421,3.5,22205,41780,12407,76392,,2022
Texas*,41.8,,,8151590,,19499000,22746809,12.2,128653,230704,110437,469794,,2022
Utah,46.8,,,1084634,,2317746,2468679,5.9,5249,0,0,5249,,2022
Vermont,56.0,,,291955,,521758,533545,2.0,0,0,0,0,,2022
Virginia,47.6,,,3021956,,6348891,6836463,6.0,30620,44353,2017,76990,,2022
Washington,55.3,,,3067686,,5543001,6164761,8.8,15056,49805,14536,79397,,2022
West Virginia,35.4,,,494753,,1396169,1423003,0.9,6031,4308,3682,14021,,2022
Wisconsin*,59.8,,,2673154,,4467396,4655496,3.0,19846,26486,23174,69506,,2022
Wyoming,45.6,,,198198,,434797,452896,2.5,2034,3745,954,6733,,2022
